,0
returns_std,0.48866983846519463
trade_count,0.4709640407697647
volume_std,0.39737221984913956
volume_mean,0.368021273815795
vwap,0.28925795021276374
close,0.23259610489184018
volume_z,0.20534851566712028
comment_volume_15min,0.18183934644792896
low_lag5min,0.17101647136022638
high,0.169501835981906
comment_volume_30min,0.16562646220096233
volume,0.13893186374496802
volume_z_lag5min,0.1274743102355255
high_lag5min,0.12097945066143731
returns_lag5min,0.1136649218298453
returns,0.11190347252478887
volume_mean_60min,0.11003378738392028
volume_lag5min,0.10716915896657012
returns_mean,0.09545775254260487
num_components,0.08904295215457406
