rank,feature,coefficient
1,high,8.810086503283367
2,low,7.997786467316359
3,high_lag5min,3.7423521253771668
4,unique_users,1.7455884408013564
5,low_lag5min,1.6701372024090042
6,trade_count,1.3312711567561417
7,close,1.1164520580117747
8,close_lag5min,0.9984380087994885
9,node_count,0.9745029529872247
10,vwap,0.6410348959626287
11,returns_std,0.46074182050569945
12,pct_posts_under_5sec,0.23141098743839877
13,is_official_halt_lag1,0.2019767362381047
14,user_growth,0.2019290365835837
15,burst_intensity,0.17734339507962216
16,open,0.17138861737021918
17,largest_component_size,0.1643804702539477
18,num_components,0.16096573983603907
19,max_score,0.15136049424598103
20,avg_score,0.14475978814740242
